metodo,grupo,n,bias_cm,mae_cm,rmse_cm
E1 mediana escalas,front,41,28.73816679741979,28.73816679741979,29.35607207922473
E1 mediana escalas,back,41,38.162798888838516,38.162798888838516,38.60803558257137
E1 mediana escalas,left,41,18.573681202006934,19.282586593370052,20.749293534883844
E1 mediana escalas,right,41,18.63017545010106,19.254584358857525,20.69460820977261
E1 mediana escalas,FRONT+BACK,82,33.45048284312915,33.45048284312915,34.29547622840172
E1 mediana escalas,LEFT+RIGHT,82,18.601928326053997,19.26858547611378,20.72196891167391
E1 mediana escalas,GLOBAL,164,26.026205584591576,26.359534159621468,28.33354624212479
E1 escala mejor calidad,front,41,-6.252270270887273,15.168657246957054,15.49218978588648
E1 escala mejor calidad,back,41,1.5185701875449757,13.11252675381143,15.658884279411536
E1 escala mejor calidad,left,41,14.090890732025914,17.95825946862995,18.910789796596283
E1 escala mejor calidad,right,41,10.383727773052476,18.032306509578166,19.044361307074603
E1 escala mejor calidad,FRONT+BACK,82,-2.3668500416711478,14.140592000384242,15.57576003342898
E1 escala mejor calidad,LEFT+RIGHT,82,12.237309252539196,17.995282989104055,18.97769306746015
E1 escala mejor calidad,GLOBAL,164,4.9352296054340234,16.06793749474415,17.36025827546481
E1 escala cercana a pies,front,41,18.382285445280008,29.563662008234875,32.87376980764952
E1 escala cercana a pies,back,41,2.3669919296340067,14.442572528527133,21.14332889625854
E1 escala cercana a pies,left,41,13.041383382511784,23.00077495981377,24.666477398912413
E1 escala cercana a pies,right,41,-2.0728607405924935,16.317092540887675,18.69738854297588
E1 escala cercana a pies,FRONT+BACK,82,10.374638687457008,22.003117268381004,27.638063410645206
E1 escala cercana a pies,LEFT+RIGHT,82,5.484261320959645,19.658933750350723,21.886382131339825
E1 escala cercana a pies,GLOBAL,164,7.929450004208325,20.831025509365862,24.928660933651013
E1 escala suelo,front,41,-13.196186114103472,14.903824256568535,15.441604824096881
E1 escala suelo,back,41,-7.995312553875501,8.007714864710573,8.830302024176822
E1 escala suelo,left,41,-9.966138426279338,18.850703126817592,20.345649009523765
E1 escala suelo,right,41,-7.111398578640315,19.94174139504357,22.612909969366335
E1 escala suelo,FRONT+BACK,82,-10.595749333989485,11.455769560639553,12.57810385912267
E1 escala suelo,LEFT+RIGHT,82,-8.538768502459826,19.39622226093059,21.509173983458812
E1 escala suelo,GLOBAL,164,-9.567258918224654,15.42599591078507,17.618928204371258
